#BH groups
4,10,1,2,9,10,3,15,8,15,13,15,5
!9,20,1,2,19,20,1,15,1,5,11,15,10
9,20,1,2,19,20,4,15,9,15,14,15,10
#4|4|3|3
3,8,1,2,7,8,0,3,1,3,2,3,4
4,10,1,2,9,10,0,3,1,3,2,3,5
5,12,1,2,11,12,0,3,1,3,2,3,6
7,16,1,2,15,16,0,3,1,3,2,3,8
11,24,1,2,23,24,0,3,1,3,2,3,12
#4|4|4|4
2,6,1,2,5,6,1,8,1,4,5,8,3
3,8,1,2,7,8,1,8,1,4,5,8,4
4,10,1,2,9,10,1,8,1,4,5,8,5
5,12,1,2,11,12,1,8,1,4,5,8,6
7,16,1,2,15,16,1,8,1,4,5,8,8
11,24,1,2,23,24,1,8,1,4,5,8,12
#5|5|4|4
2,6,1,2,5,6,1,15,4,15,2,3,3
3,8,1,2,7,8,1,15,4,15,2,3,4
4,10,1,2,9,10,1,15,4,15,2,3,5
#5|5|5|5
1,4,1,2,3,4,3,20,1,5,13,20,2
2,6,1,2,5,6,3,20,1,5,13,20,3
3,8,1,2,7,8,3,20,1,5,13,20,4
4,10,1,2,9,10,3,20,1,5,13,20,5
9,20,1,2,19,20,3,20,1,5,13,20,10
#3|3|4|3
1,6,5,6,2,3,1,8,1,4,5,8,3
1,6,5,6,3,4,1,8,1,4,5,8,4
1,6,5,6,4,5,1,8,1,4,5,8,5
![ERROR]1,6,5,6,5,6,1,8,1,4,5,8,6
1,6,5,6,7,8,1,8,1,4,5,8,8
1,6,5,6,11,12,1,8,1,4,5,8,12
#3|3|4|4
1,4,3,4,2,3,1,7,2,7,4,7,3
![ERROR]1,4,3,4,3,4,1,7,2,7,4,7,4
1,4,3,4,4,5,1,7,2,7,4,7,5
1,4,3,4,5,6,1,7,2,7,4,7,6
1,4,3,4,7,8,1,7,2,7,4,7,8
1,4,3,4,11,12,1,7,2,7,4,7,12
#3|3|4|5
3,10,7,10,2,3,2,15,1,3,8,15,3
3,10,7,10,3,4,2,15,1,3,8,15,4
3,10,7,10,4,5,2,15,1,3,8,15,5
#3|3|4|6
![ERROR]1,3,2,3,2,3,1,8,3,8,1,2,3
1,3,2,3,3,4,1,8,3,8,1,2,4
1,3,2,3,4,5,1,8,3,8,1,2,5
#3|3|4|7
5,14,9,14,1,2,23,42,4,7,37,42,2
5,14,9,14,6,7,23,42,4,7,37,42,7
#2|3|3|3
![ERROR]1,6,5,6,4,5,0,8,1,4,3,4,5
![ERROR]1,6,5,6,5,6,0,8,1,4,3,4,6
![ERROR]1,6,5,6,6,7,0,8,1,4,3,4,7
![ERROR]1,6,5,6,7,8,0,8,1,4,3,4,8
![ERROR]1,6,5,6,8,9,0,8,1,4,3,4,9
![ERROR]1,6,5,6,9,10,0,8,1,4,3,4,10
![ERROR]1,6,5,6,11,12,0,8,1,4,3,4,12
![ERROR]1,6,5,6,17,18,0,8,1,4,3,4,18
#2|3|4|4
1,4,3,4,3,4,0,7,1,3,2,3,4
1,4,3,4,4,5,0,7,1,3,2,3,5
1,4,3,4,5,6,0,7,1,3,2,3,6
1,4,3,4,7,8,0,7,1,3,2,3,8
1,4,3,4,11,12,0,7,1,3,2,3,12
#2|3|5|5
3,10,7,10,2,3,0,15,2,5,3,5,3
3,10,7,10,3,4,0,15,2,5,3,5,4
3,10,7,10,4,5,0,15,2,5,3,5,5
3,10,7,10,9,10,0,15,2,5,3,5,10
#2|3|6|6
1,3,2,3,1,2,0,8,1,2,1,2,2
1,3,2,3,2,3,0,8,1,2,1,2,3
1,3,2,3,3,4,0,8,1,2,1,2,4
1,3,2,3,5,6,0,8,1,2,1,2,6
